timestamp,loop,phase,fc,addr,name,op,raw,decoded,expected,result,latency_ms,note
2026-07-16T13:38:41.089,1,PRESET,1,1003,Enable Preset 3,check,1,enable 1003 -> coil 1003 reads 1 (ring blue),1,OK,0.0,
2026-07-16T13:38:41.089,1,PRESET,1,1001,Enable Preset 1,check,0,radio: coil 1001 auto-cleared after enabling 1003,0,OK,0.0,
2026-07-16T13:38:42.875,1,PRESET,3,190,Global Brightness,check,-1,reg 190 = 37 fanned out to all 8 preset regs,37,FAIL,0.0,
2026-07-16T13:38:44.267,1,PRESET,3,194,Global Max On-Time,check,-1,reg 194 = 2400 fanned out to all 8 preset regs,2400,FAIL,0.0,
2026-07-16T13:38:44.849,1,PRESET,1,1003,Enable Preset 3,check,0,disable 1003 -> ring off,0,OK,0.0,
2026-07-16T13:38:44.992,1,DISPLAY,1,1010,Display Enable,check,1,coil 1010 on -> OLED should show '45',1,OK,0.0,
2026-07-16T13:38:47.891,1,DISPLAY,3,60,Display Number,check,99,reg 60 = 1234 clamps: readback 99 (OLED shows '99'),99,OK,0.0,
2026-07-16T13:38:49.169,1,DISPLAY,1,1010,Display Enable,check,0,coil 1010 off -> OLED blank,0,OK,0.0,
2026-07-16T13:38:49.774,1,LED,1,1001,LED 1 Enable,on,1,ring blue,1,OK,22.8,
2026-07-16T13:38:52.080,1,LATCH,1,1020,Safety Trigger,fire,0,cleared 320ms; pulsed,self-clear,OK,31.9,reg40 0->0
2026-07-16T13:38:54.894,1,LATCH,1,1019,Force Trigger,fire,0,cleared 513ms; pulsed,self-clear,OK,31.8,reg40 0->0
